id,org:resource,concept:name,time:timestamp,org:role,case:Rfp_id,case:Permit travel permit number,case:Task,case:OrganizationalEntity,case:RequestedAmount,case:Activity,case:Permit TaskNumber,case:Permit BudgetNumber,case:Permit ProjectNumber,case:Project,case:concept:name,case:Permit OrganizationalEntity,case:Permit RequestedBudget,case:Cost Type,case:Permit id,case:Permit ActivityNumber,case:RfpNumber
st_step 36832_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-01-08 11:51:16+00:00,SUPERVISOR,request for payment 36825,travel permit number 36823,task 36827,organizational unit 65463,1754.4390413230756,activity 505,task 427,budget 529,project 36824,project 503,request for payment 36825,organizational unit 65455,2877.702090743153,0,travel permit 36822,UNKNOWN,request for payment number 36826
st_step 36835_0,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018-03-05 11:38:12+00:00,EMPLOYEE,request for payment 36825,travel permit number 36823,task 36827,organizational unit 65463,1754.4390413230756,activity 505,task 427,budget 529,project 36824,project 503,request for payment 36825,organizational unit 65455,2877.702090743153,0,travel permit 36822,UNKNOWN,request for payment number 36826
st_step 36837_0,STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018-03-05 11:39:08+00:00,ADMINISTRATION,request for payment 36825,travel permit number 36823,task 36827,organizational unit 65463,1754.4390413230756,activity 505,task 427,budget 529,project 36824,project 503,request for payment 36825,organizational unit 65455,2877.702090743153,0,travel permit 36822,UNKNOWN,request for payment number 36826
st_step 36836_0,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-03-07 09:19:45+00:00,SUPERVISOR,request for payment 36825,travel permit number 36823,task 36827,organizational unit 65463,1754.4390413230756,activity 505,task 427,budget 529,project 36824,project 503,request for payment 36825,organizational unit 65455,2877.702090743153,0,travel permit 36822,UNKNOWN,request for payment number 36826
rp_request for payment 36825_15,SYSTEM,Request Payment,2018-03-13 08:08:31+00:00,UNDEFINED,request for payment 36825,travel permit number 36823,task 36827,organizational unit 65463,1754.4390413230756,activity 505,task 427,budget 529,project 36824,project 503,request for payment 36825,organizational unit 65455,2877.702090743153,0,travel permit 36822,UNKNOWN,request for payment number 36826
rp_request for payment 36825_16,SYSTEM,Payment Handled,2018-03-15 17:31:16+00:00,UNDEFINED,request for payment 36825,travel permit number 36823,task 36827,organizational unit 65463,1754.4390413230756,activity 505,task 427,budget 529,project 36824,project 503,request for payment 36825,organizational unit 65455,2877.702090743153,0,travel permit 36822,UNKNOWN,request for payment number 36826
st_step 43541_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-01-08 11:25:10+00:00,EMPLOYEE,request for payment 43536,travel permit number 43535,task 9260,organizational unit 65454,244.94367863368151,activity 505,task 427,budget 684,project 9257,project 503,request for payment 43536,organizational unit 65460,849.1380859300959,0,travel permit 43534,UNKNOWN,request for payment number 43537
st_step 43540_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-01-08 11:25:13+00:00,ADMINISTRATION,request for payment 43536,travel permit number 43535,task 9260,organizational unit 65454,244.94367863368151,activity 505,task 427,budget 684,project 9257,project 503,request for payment 43536,organizational unit 65460,849.1380859300959,0,travel permit 43534,UNKNOWN,request for payment number 43537
st_step 43542_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-01-08 12:17:11+00:00,SUPERVISOR,request for payment 43536,travel permit number 43535,task 9260,organizational unit 65454,244.94367863368151,activity 505,task 427,budget 684,project 9257,project 503,request for payment 43536,organizational unit 65460,849.1380859300959,0,travel permit 43534,UNKNOWN,request for payment number 43537
st_step 43543_0,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018-01-18 13:46:42+00:00,EMPLOYEE,request for payment 43536,travel permit number 43535,task 9260,organizational unit 65454,244.94367863368151,activity 505,task 427,budget 684,project 9257,project 503,request for payment 43536,organizational unit 65460,849.1380859300959,0,travel permit 43534,UNKNOWN,request for payment number 43537
st_step 43544_0,STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018-01-18 13:46:46+00:00,ADMINISTRATION,request for payment 43536,travel permit number 43535,task 9260,organizational unit 65454,244.94367863368151,activity 505,task 427,budget 684,project 9257,project 503,request for payment 43536,organizational unit 65460,849.1380859300959,0,travel permit 43534,UNKNOWN,request for payment number 43537
st_step 43545_0,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-01-18 15:11:06+00:00,SUPERVISOR,request for payment 43536,travel permit number 43535,task 9260,organizational unit 65454,244.94367863368151,activity 505,task 427,budget 684,project 9257,project 503,request for payment 43536,organizational unit 65460,849.1380859300959,0,travel permit 43534,UNKNOWN,request for payment number 43537
rp_request for payment 43536_15,SYSTEM,Request Payment,2018-01-19 14:19:12+00:00,UNDEFINED,request for payment 43536,travel permit number 43535,task 9260,organizational unit 65454,244.94367863368151,activity 505,task 427,budget 684,project 9257,project 503,request for payment 43536,organizational unit 65460,849.1380859300959,0,travel permit 43534,UNKNOWN,request for payment number 43537
rp_request for payment 43536_16,SYSTEM,Payment Handled,2018-01-22 17:31:18+00:00,UNDEFINED,request for payment 43536,travel permit number 43535,task 9260,organizational unit 65454,244.94367863368151,activity 505,task 427,budget 684,project 9257,project 503,request for payment 43536,organizational unit 65460,849.1380859300959,0,travel permit 43534,UNKNOWN,request for payment number 43537
st_step 8853_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-01-08 11:32:48+00:00,EMPLOYEE,request for payment 8847,travel permit number 8842,UNKNOWN,organizational unit 65454,290.4063381606301,UNKNOWN,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 8847,organizational unit 65460,1151.3907680377406,0,travel permit 8841,activity 4021,request for payment number 8848
st_step 8852_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-01-08 11:32:52+00:00,ADMINISTRATION,request for payment 8847,travel permit number 8842,UNKNOWN,organizational unit 65454,290.4063381606301,UNKNOWN,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 8847,organizational unit 65460,1151.3907680377406,0,travel permit 8841,activity 4021,request for payment number 8848
st_step 8851_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-01-08 12:16:03+00:00,SUPERVISOR,request for payment 8847,travel permit number 8842,UNKNOWN,organizational unit 65454,290.4063381606301,UNKNOWN,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 8847,organizational unit 65460,1151.3907680377406,0,travel permit 8841,activity 4021,request for payment number 8848
st_step 8861_0,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018-01-17 11:00:19+00:00,EMPLOYEE,request for payment 8847,travel permit number 8842,UNKNOWN,organizational unit 65454,290.4063381606301,UNKNOWN,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 8847,organizational unit 65460,1151.3907680377406,0,travel permit 8841,activity 4021,request for payment number 8848
st_step 8862_0,STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018-01-17 11:00:23+00:00,ADMINISTRATION,request for payment 8847,travel permit number 8842,UNKNOWN,organizational unit 65454,290.4063381606301,UNKNOWN,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 8847,organizational unit 65460,1151.3907680377406,0,travel permit 8841,activity 4021,request for payment number 8848
st_step 8860_0,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-01-17 13:33:01+00:00,SUPERVISOR,request for payment 8847,travel permit number 8842,UNKNOWN,organizational unit 65454,290.4063381606301,UNKNOWN,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 8847,organizational unit 65460,1151.3907680377406,0,travel permit 8841,activity 4021,request for payment number 8848
rp_request for payment 8847_15,SYSTEM,Request Payment,2018-01-19 18:58:48+00:00,UNDEFINED,request for payment 8847,travel permit number 8842,UNKNOWN,organizational unit 65454,290.4063381606301,UNKNOWN,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 8847,organizational unit 65460,1151.3907680377406,0,travel permit 8841,activity 4021,request for payment number 8848
rp_request for payment 8847_16,SYSTEM,Payment Handled,2018-01-25 17:31:09+00:00,UNDEFINED,request for payment 8847,travel permit number 8842,UNKNOWN,organizational unit 65454,290.4063381606301,UNKNOWN,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 8847,organizational unit 65460,1151.3907680377406,0,travel permit 8841,activity 4021,request for payment number 8848
st_step 8853_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-01-08 11:32:48+00:00,EMPLOYEE,request for payment 8845,travel permit number 8842,UNKNOWN,organizational unit 65454,383.7969226792469,UNKNOWN,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 8845,organizational unit 65460,1151.3907680377406,0,travel permit 8841,activity 4021,request for payment number 8846
st_step 8852_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-01-08 11:32:52+00:00,ADMINISTRATION,request for payment 8845,travel permit number 8842,UNKNOWN,organizational unit 65454,383.7969226792469,UNKNOWN,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 8845,organizational unit 65460,1151.3907680377406,0,travel permit 8841,activity 4021,request for payment number 8846
st_step 8851_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-01-08 12:16:03+00:00,SUPERVISOR,request for payment 8845,travel permit number 8842,UNKNOWN,organizational unit 65454,383.7969226792469,UNKNOWN,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 8845,organizational unit 65460,1151.3907680377406,0,travel permit 8841,activity 4021,request for payment number 8846
st_step 8859_0,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018-01-17 09:45:00+00:00,EMPLOYEE,request for payment 8845,travel permit number 8842,UNKNOWN,organizational unit 65454,383.7969226792469,UNKNOWN,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 8845,organizational unit 65460,1151.3907680377406,0,travel permit 8841,activity 4021,request for payment number 8846
st_step 8857_0,STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018-01-17 09:46:38+00:00,ADMINISTRATION,request for payment 8845,travel permit number 8842,UNKNOWN,organizational unit 65454,383.7969226792469,UNKNOWN,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 8845,organizational unit 65460,1151.3907680377406,0,travel permit 8841,activity 4021,request for payment number 8846
st_step 8858_0,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-01-17 12:13:20+00:00,SUPERVISOR,request for payment 8845,travel permit number 8842,UNKNOWN,organizational unit 65454,383.7969226792469,UNKNOWN,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 8845,organizational unit 65460,1151.3907680377406,0,travel permit 8841,activity 4021,request for payment number 8846
rp_request for payment 8845_15,SYSTEM,Request Payment,2018-01-19 18:58:58+00:00,UNDEFINED,request for payment 8845,travel permit number 8842,UNKNOWN,organizational unit 65454,383.7969226792469,UNKNOWN,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 8845,organizational unit 65460,1151.3907680377406,0,travel permit 8841,activity 4021,request for payment number 8846
rp_request for payment 8845_16,SYSTEM,Payment Handled,2018-01-25 17:31:09+00:00,UNDEFINED,request for payment 8845,travel permit number 8842,UNKNOWN,organizational unit 65454,383.7969226792469,UNKNOWN,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 8845,organizational unit 65460,1151.3907680377406,0,travel permit 8841,activity 4021,request for payment number 8846
st_step 8853_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-01-08 11:32:48+00:00,EMPLOYEE,request for payment 8843,travel permit number 8842,UNKNOWN,organizational unit 65454,212.36763054918327,UNKNOWN,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 8843,organizational unit 65460,1151.3907680377406,0,travel permit 8841,activity 4021,request for payment number 8844
st_step 8852_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-01-08 11:32:52+00:00,ADMINISTRATION,request for payment 8843,travel permit number 8842,UNKNOWN,organizational unit 65454,212.36763054918327,UNKNOWN,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 8843,organizational unit 65460,1151.3907680377406,0,travel permit 8841,activity 4021,request for payment number 8844
st_step 8851_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-01-08 12:16:03+00:00,SUPERVISOR,request for payment 8843,travel permit number 8842,UNKNOWN,organizational unit 65454,212.36763054918327,UNKNOWN,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 8843,organizational unit 65460,1151.3907680377406,0,travel permit 8841,activity 4021,request for payment number 8844
st_step 8855_0,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018-01-17 10:58:31+00:00,EMPLOYEE,request for payment 8843,travel permit number 8842,UNKNOWN,organizational unit 65454,212.36763054918327,UNKNOWN,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 8843,organizational unit 65460,1151.3907680377406,0,travel permit 8841,activity 4021,request for payment number 8844
st_step 8856_0,STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018-01-17 10:58:34+00:00,ADMINISTRATION,request for payment 8843,travel permit number 8842,UNKNOWN,organizational unit 65454,212.36763054918327,UNKNOWN,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 8843,organizational unit 65460,1151.3907680377406,0,travel permit 8841,activity 4021,request for payment number 8844
st_step 8854_0,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-01-17 13:14:54+00:00,SUPERVISOR,request for payment 8843,travel permit number 8842,UNKNOWN,organizational unit 65454,212.36763054918327,UNKNOWN,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 8843,organizational unit 65460,1151.3907680377406,0,travel permit 8841,activity 4021,request for payment number 8844
rp_request for payment 8843_15,SYSTEM,Request Payment,2018-01-19 18:58:49+00:00,UNDEFINED,request for payment 8843,travel permit number 8842,UNKNOWN,organizational unit 65454,212.36763054918327,UNKNOWN,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 8843,organizational unit 65460,1151.3907680377406,0,travel permit 8841,activity 4021,request for payment number 8844
rp_request for payment 8843_16,SYSTEM,Payment Handled,2018-01-25 17:31:09+00:00,UNDEFINED,request for payment 8843,travel permit number 8842,UNKNOWN,organizational unit 65454,212.36763054918327,UNKNOWN,UNKNOWN,budget 1469,UNKNOWN,project 503,request for payment 8843,organizational unit 65460,1151.3907680377406,0,travel permit 8841,activity 4021,request for payment number 8844
st_step 6659_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-01-08 14:21:43+00:00,EMPLOYEE,request for payment 6650,travel permit number 6648,task 6652,organizational unit 65454,265.3469923281054,activity 505,task 427,budget 499,project 6649,project 503,request for payment 6650,organizational unit 65460,1105.6124680337725,0,travel permit 6647,UNKNOWN,request for payment number 6651
st_step 6657_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-01-08 14:21:45+00:00,ADMINISTRATION,request for payment 6650,travel permit number 6648,task 6652,organizational unit 65454,265.3469923281054,activity 505,task 427,budget 499,project 6649,project 503,request for payment 6650,organizational unit 65460,1105.6124680337725,0,travel permit 6647,UNKNOWN,request for payment number 6651
st_step 6658_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-01-09 08:04:17+00:00,SUPERVISOR,request for payment 6650,travel permit number 6648,task 6652,organizational unit 65454,265.3469923281054,activity 505,task 427,budget 499,project 6649,project 503,request for payment 6650,organizational unit 65460,1105.6124680337725,0,travel permit 6647,UNKNOWN,request for payment number 6651
st_step 6661_0,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018-01-18 12:28:58+00:00,EMPLOYEE,request for payment 6650,travel permit number 6648,task 6652,organizational unit 65454,265.3469923281054,activity 505,task 427,budget 499,project 6649,project 503,request for payment 6650,organizational unit 65460,1105.6124680337725,0,travel permit 6647,UNKNOWN,request for payment number 6651
st_step 6660_0,STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018-01-18 12:29:04+00:00,ADMINISTRATION,request for payment 6650,travel permit number 6648,task 6652,organizational unit 65454,265.3469923281054,activity 505,task 427,budget 499,project 6649,project 503,request for payment 6650,organizational unit 65460,1105.6124680337725,0,travel permit 6647,UNKNOWN,request for payment number 6651
st_step 6662_0,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-01-18 15:10:28+00:00,SUPERVISOR,request for payment 6650,travel permit number 6648,task 6652,organizational unit 65454,265.3469923281054,activity 505,task 427,budget 499,project 6649,project 503,request for payment 6650,organizational unit 65460,1105.6124680337725,0,travel permit 6647,UNKNOWN,request for payment number 6651
rp_request for payment 6650_15,SYSTEM,Request Payment,2018-01-22 11:21:20+00:00,UNDEFINED,request for payment 6650,travel permit number 6648,task 6652,organizational unit 65454,265.3469923281054,activity 505,task 427,budget 499,project 6649,project 503,request for payment 6650,organizational unit 65460,1105.6124680337725,0,travel permit 6647,UNKNOWN,request for payment number 6651
rp_request for payment 6650_16,SYSTEM,Payment Handled,2018-01-25 17:31:09+00:00,UNDEFINED,request for payment 6650,travel permit number 6648,task 6652,organizational unit 65454,265.3469923281054,activity 505,task 427,budget 499,project 6649,project 503,request for payment 6650,organizational unit 65460,1105.6124680337725,0,travel permit 6647,UNKNOWN,request for payment number 6651
st_step 6659_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-01-08 14:21:43+00:00,EMPLOYEE,request for payment 6653,travel permit number 6648,task 6652,organizational unit 65454,242.68193673341304,activity 505,task 427,budget 499,project 6649,project 503,request for payment 6653,organizational unit 65460,1105.6124680337725,0,travel permit 6647,UNKNOWN,request for payment number 6654
st_step 6657_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-01-08 14:21:45+00:00,ADMINISTRATION,request for payment 6653,travel permit number 6648,task 6652,organizational unit 65454,242.68193673341304,activity 505,task 427,budget 499,project 6649,project 503,request for payment 6653,organizational unit 65460,1105.6124680337725,0,travel permit 6647,UNKNOWN,request for payment number 6654
st_step 6658_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-01-09 08:04:17+00:00,SUPERVISOR,request for payment 6653,travel permit number 6648,task 6652,organizational unit 65454,242.68193673341304,activity 505,task 427,budget 499,project 6649,project 503,request for payment 6653,organizational unit 65460,1105.6124680337725,0,travel permit 6647,UNKNOWN,request for payment number 6654
st_step 6664_0,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018-04-03 21:01:09+00:00,EMPLOYEE,request for payment 6653,travel permit number 6648,task 6652,organizational unit 65454,242.68193673341304,activity 505,task 427,budget 499,project 6649,project 503,request for payment 6653,organizational unit 65460,1105.6124680337725,0,travel permit 6647,UNKNOWN,request for payment number 6654
st_step 6665_0,STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018-04-03 21:01:18+00:00,ADMINISTRATION,request for payment 6653,travel permit number 6648,task 6652,organizational unit 65454,242.68193673341304,activity 505,task 427,budget 499,project 6649,project 503,request for payment 6653,organizational unit 65460,1105.6124680337725,0,travel permit 6647,UNKNOWN,request for payment number 6654
st_step 6663_0,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-04-05 10:46:31+00:00,SUPERVISOR,request for payment 6653,travel permit number 6648,task 6652,organizational unit 65454,242.68193673341304,activity 505,task 427,budget 499,project 6649,project 503,request for payment 6653,organizational unit 65460,1105.6124680337725,0,travel permit 6647,UNKNOWN,request for payment number 6654
rp_request for payment 6653_15,SYSTEM,Request Payment,2018-04-09 11:55:33+00:00,UNDEFINED,request for payment 6653,travel permit number 6648,task 6652,organizational unit 65454,242.68193673341304,activity 505,task 427,budget 499,project 6649,project 503,request for payment 6653,organizational unit 65460,1105.6124680337725,0,travel permit 6647,UNKNOWN,request for payment number 6654
rp_request for payment 6653_16,SYSTEM,Payment Handled,2018-04-12 17:31:12+00:00,UNDEFINED,request for payment 6653,travel permit number 6648,task 6652,organizational unit 65454,242.68193673341304,activity 505,task 427,budget 499,project 6649,project 503,request for payment 6653,organizational unit 65460,1105.6124680337725,0,travel permit 6647,UNKNOWN,request for payment number 6654
st_step 65575_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-01-08 16:42:24+00:00,EMPLOYEE,request for payment 65570,travel permit number 65569,task 8457,organizational unit 65461,360.41881066156816,activity 505,task 427,budget 2976,project 11391,project 503,request for payment 65570,organizational unit 65456,1261.133959957605,0,travel permit 65568,UNKNOWN,request for payment number 65571
st_step 65574_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-01-08 16:42:27+00:00,ADMINISTRATION,request for payment 65570,travel permit number 65569,task 8457,organizational unit 65461,360.41881066156816,activity 505,task 427,budget 2976,project 11391,project 503,request for payment 65570,organizational unit 65456,1261.133959957605,0,travel permit 65568,UNKNOWN,request for payment number 65571
st_step 65576_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-01-08 22:47:26+00:00,SUPERVISOR,request for payment 65570,travel permit number 65569,task 8457,organizational unit 65461,360.41881066156816,activity 505,task 427,budget 2976,project 11391,project 503,request for payment 65570,organizational unit 65456,1261.133959957605,0,travel permit 65568,UNKNOWN,request for payment number 65571
st_step 65578_0,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018-02-12 10:29:50+00:00,EMPLOYEE,request for payment 65570,travel permit number 65569,task 8457,organizational unit 65461,360.41881066156816,activity 505,task 427,budget 2976,project 11391,project 503,request for payment 65570,organizational unit 65456,1261.133959957605,0,travel permit 65568,UNKNOWN,request for payment number 65571
st_step 65579_0,STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018-02-12 10:39:14+00:00,ADMINISTRATION,request for payment 65570,travel permit number 65569,task 8457,organizational unit 65461,360.41881066156816,activity 505,task 427,budget 2976,project 11391,project 503,request for payment 65570,organizational unit 65456,1261.133959957605,0,travel permit 65568,UNKNOWN,request for payment number 65571
st_step 65577_0,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-02-13 11:24:49+00:00,SUPERVISOR,request for payment 65570,travel permit number 65569,task 8457,organizational unit 65461,360.41881066156816,activity 505,task 427,budget 2976,project 11391,project 503,request for payment 65570,organizational unit 65456,1261.133959957605,0,travel permit 65568,UNKNOWN,request for payment number 65571
rp_request for payment 65570_15,SYSTEM,Request Payment,2018-02-13 12:33:30+00:00,UNDEFINED,request for payment 65570,travel permit number 65569,task 8457,organizational unit 65461,360.41881066156816,activity 505,task 427,budget 2976,project 11391,project 503,request for payment 65570,organizational unit 65456,1261.133959957605,0,travel permit 65568,UNKNOWN,request for payment number 65571
rp_request for payment 65570_16,SYSTEM,Payment Handled,2018-02-15 17:31:19+00:00,UNDEFINED,request for payment 65570,travel permit number 65569,task 8457,organizational unit 65461,360.41881066156816,activity 505,task 427,budget 2976,project 11391,project 503,request for payment 65570,organizational unit 65456,1261.133959957605,0,travel permit 65568,UNKNOWN,request for payment number 65571
st_step 14424_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-01-09 10:16:28+00:00,EMPLOYEE,request for payment 14417,travel permit number 14412,task 14416,organizational unit 65454,172.1294933171527,activity 505,task 427,budget 1469,project 14413,project 503,request for payment 14417,organizational unit 65460,1481.8784561031239,0,travel permit 14411,UNKNOWN,request for payment number 14418
st_step 14423_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-01-15 11:35:47+00:00,ADMINISTRATION,request for payment 14417,travel permit number 14412,task 14416,organizational unit 65454,172.1294933171527,activity 505,task 427,budget 1469,project 14413,project 503,request for payment 14417,organizational unit 65460,1481.8784561031239,0,travel permit 14411,UNKNOWN,request for payment number 14418
